federal_provider_number,provider_name,provider_address,provider_city,provider_state,provider_zip_code,penalty_date,penalty_type,fine_amount,payment_denial_start_date,payment_denial_length_in_days,location,processing_date
335718,THE FIVE TOWNS PREMIER REHAB & NURSING CENTER,1050 CENTRAL AVENUE,WOODMERE,NY,11598,2021-01-19,Fine,3250,,,"1050 CENTRAL AVENUE,WOODMERE,NY,11598",2022-01-01
335718,THE FIVE TOWNS PREMIER REHAB & NURSING CENTER,1050 CENTRAL AVENUE,WOODMERE,NY,11598,2019-05-24,Fine,39322,,,"1050 CENTRAL AVENUE,WOODMERE,NY,11598",2022-01-01
335798,TOWNHOUSE CENTER FOR REHABILITATION & NURSING,755 HEMPSTEAD TURNPIKE,UNIONDALE,NY,11553,2019-01-25,Fine,52068,,,"755 HEMPSTEAD TURNPIKE,UNIONDALE,NY,11553",2022-01-01
335871,MOUNT SINAI SOUTH NASSAU T C U,1 HEALTHY WAY,OCEANSIDE,NY,11572,2020-06-08,Fine,650,,,"1 HEALTHY WAY,OCEANSIDE,NY,11572",2022-01-01
335074,"PARKVIEW CARE AND REHABILITATION CENTER, INC",5353 MERRICK ROAD,MASSAPEQUA,NY,11758,2019-10-31,Fine,11030,,,"5353 MERRICK ROAD,MASSAPEQUA,NY,11758",2022-01-01
335159,ROSS CENTER FOR NURSING AND REHABILITATION,839 SUFFOLK AVENUE,BRENTWOOD,NY,11717,2020-10-26,Fine,5000,,,"839 SUFFOLK AVENUE,BRENTWOOD,NY,11717",2022-01-01
335161,DALEVIEW CARE CENTER,574 FULTON STREET,EAST FARMINGDALE,NY,11735,2020-06-22,Fine,650,,,"574 FULTON STREET,EAST FARMINGDALE,NY,11735",2022-01-01
335161,DALEVIEW CARE CENTER,574 FULTON STREET,EAST FARMINGDALE,NY,11735,2021-06-21,Fine,975,,,"574 FULTON STREET,EAST FARMINGDALE,NY,11735",2022-01-01
335161,DALEVIEW CARE CENTER,574 FULTON STREET,EAST FARMINGDALE,NY,11735,2021-06-28,Fine,1300,,,"574 FULTON STREET,EAST FARMINGDALE,NY,11735",2022-01-01
335161,DALEVIEW CARE CENTER,574 FULTON STREET,EAST FARMINGDALE,NY,11735,2021-07-05,Fine,1625,,,"574 FULTON STREET,EAST FARMINGDALE,NY,11735",2022-01-01
335161,DALEVIEW CARE CENTER,574 FULTON STREET,EAST FARMINGDALE,NY,11735,2021-07-12,Fine,1950,,,"574 FULTON STREET,EAST FARMINGDALE,NY,11735",2022-01-01
335161,DALEVIEW CARE CENTER,574 FULTON STREET,EAST FARMINGDALE,NY,11735,2021-07-19,Fine,2275,,,"574 FULTON STREET,EAST FARMINGDALE,NY,11735",2022-01-01
335161,DALEVIEW CARE CENTER,574 FULTON STREET,EAST FARMINGDALE,NY,11735,2021-07-26,Fine,2600,,,"574 FULTON STREET,EAST FARMINGDALE,NY,11735",2022-01-01
335161,DALEVIEW CARE CENTER,574 FULTON STREET,EAST FARMINGDALE,NY,11735,2021-08-02,Fine,2925,,,"574 FULTON STREET,EAST FARMINGDALE,NY,11735",2022-01-01
335161,DALEVIEW CARE CENTER,574 FULTON STREET,EAST FARMINGDALE,NY,11735,2021-08-09,Fine,3250,,,"574 FULTON STREET,EAST FARMINGDALE,NY,11735",2022-01-01
335161,DALEVIEW CARE CENTER,574 FULTON STREET,EAST FARMINGDALE,NY,11735,2021-08-16,Fine,3575,,,"574 FULTON STREET,EAST FARMINGDALE,NY,11735",2022-01-01
335175,BROOKSIDE MULTICARE NURSING CENTER,7 ROUTE 25A,SMITHTOWN,NY,11787,2020-12-18,Fine,15000,,,"7 ROUTE 25A,SMITHTOWN,NY,11787",2022-01-01
335213,MASSAPEQUA CENTER REHABILITATION & NURSING,101 LOUDEN AVE,AMITYVILLE,NY,11701,2019-03-01,Fine,7036,,,"101 LOUDEN AVE,AMITYVILLE,NY,11701",2022-01-01
335231,"EXCEL AT WOODBURY FOR REHAB AND NURSING, L L C",8533 JERICHO TPKE,WOODBURY,NY,11797,2021-06-28,Fine,650,,,"8533 JERICHO TPKE,WOODBURY,NY,11797",2022-01-01
335231,"EXCEL AT WOODBURY FOR REHAB AND NURSING, L L C",8533 JERICHO TPKE,WOODBURY,NY,11797,2021-07-05,Fine,975,,,"8533 JERICHO TPKE,WOODBURY,NY,11797",2022-01-01
335401,MOMENTUM AT SOUTH BAY FOR REHAB AND NURSING,340 EAST MONTAUK HIGHWAY,EAST ISLIP,NY,11730,2021-08-23,Fine,650,,,"340 EAST MONTAUK HIGHWAY,EAST ISLIP,NY,11730",2022-01-01
335487,ST JOHNLAND NURSING CENTER INC,395 SUNKEN MEADOW ROAD,KINGS PARK,NY,11754,2021-03-29,Fine,650,,,"395 SUNKEN MEADOW ROAD,KINGS PARK,NY,11754",2022-01-01
335487,ST JOHNLAND NURSING CENTER INC,395 SUNKEN MEADOW ROAD,KINGS PARK,NY,11754,2019-01-28,Fine,7036,,,"395 SUNKEN MEADOW ROAD,KINGS PARK,NY,11754",2022-01-01
335487,ST JOHNLAND NURSING CENTER INC,395 SUNKEN MEADOW ROAD,KINGS PARK,NY,11754,2021-04-13,Fine,12604,,,"395 SUNKEN MEADOW ROAD,KINGS PARK,NY,11754",2022-01-01
335514,WOODHAVEN NURSING HOME,1360 ROUTE 112,PORT JEFFERSON STATI,NY,11776,2020-11-19,Fine,15000,,,"1360 ROUTE 112,PORT JEFFERSON STATI,NY,11776",2022-01-01
335555,COLD SPRING HILLS CENTER FOR NURSING AND REHAB,378 SYOSSET WOODBURY ROAD,WOODBURY,NY,11797,2019-09-17,Fine,38363,,,"378 SYOSSET WOODBURY ROAD,WOODBURY,NY,11797",2022-01-01
335681,EAST NECK NURSING & REHABILITATION CENTER,134 GREAT EAST NECK ROAD,WEST BABYLON,NY,11704,2021-07-12,Fine,650,,,"134 GREAT EAST NECK ROAD,WEST BABYLON,NY,11704",2022-01-01
335694,BROOKHAVEN HEALTH CARE FACILITY L L C,801 GAZZOLA BLVD,EAST PATCHOGUE,NY,11772,2021-08-30,Fine,650,,,"801 GAZZOLA BLVD,EAST PATCHOGUE,NY,11772",2022-01-01
335694,BROOKHAVEN HEALTH CARE FACILITY L L C,801 GAZZOLA BLVD,EAST PATCHOGUE,NY,11772,2021-09-13,Fine,975,,,"801 GAZZOLA BLVD,EAST PATCHOGUE,NY,11772",2022-01-01
335755,BELLHAVEN CENTER FOR REHAB AND NURSING CARE,110 BEAVER DAM ROAD,BROOKHAVEN,NY,11719,2021-03-22,Fine,650,,,"110 BEAVER DAM ROAD,BROOKHAVEN,NY,11719",2022-01-01
335755,BELLHAVEN CENTER FOR REHAB AND NURSING CARE,110 BEAVER DAM ROAD,BROOKHAVEN,NY,11719,2021-06-14,Fine,975,,,"110 BEAVER DAM ROAD,BROOKHAVEN,NY,11719",2022-01-01
335755,BELLHAVEN CENTER FOR REHAB AND NURSING CARE,110 BEAVER DAM ROAD,BROOKHAVEN,NY,11719,2021-06-28,Fine,1300,,,"110 BEAVER DAM ROAD,BROOKHAVEN,NY,11719",2022-01-01
335755,BELLHAVEN CENTER FOR REHAB AND NURSING CARE,110 BEAVER DAM ROAD,BROOKHAVEN,NY,11719,2021-08-23,Fine,1625,,,"110 BEAVER DAM ROAD,BROOKHAVEN,NY,11719",2022-01-01
335755,BELLHAVEN CENTER FOR REHAB AND NURSING CARE,110 BEAVER DAM ROAD,BROOKHAVEN,NY,11719,2021-09-13,Fine,1950,,,"110 BEAVER DAM ROAD,BROOKHAVEN,NY,11719",2022-01-01
335755,BELLHAVEN CENTER FOR REHAB AND NURSING CARE,110 BEAVER DAM ROAD,BROOKHAVEN,NY,11719,2021-09-20,Fine,2275,,,"110 BEAVER DAM ROAD,BROOKHAVEN,NY,11719",2022-01-01
335758,LONG ISLAND STATE VETERANS HOME,100 PATRIOTS ROAD,STONYBROOK,NY,11790,2020-11-24,Fine,5000,,,"100 PATRIOTS ROAD,STONYBROOK,NY,11790",2022-01-01
335835,ISLAND NURSING AND REHAB CENTER,5537 EXPRESSWAY DRIVE NORTH,HOLTSVILLE,NY,11742,2020-06-08,Fine,650,,,"5537 EXPRESSWAY DRIVE NORTH,HOLTSVILLE,NY,11742",2022-01-01
335853,JOHN T MATHER MEMORIAL HOSP T C U,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,2021-06-21,Fine,650,,,"75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777",2022-01-01
335254,ACADIA CENTER FOR NURSING AND REHABILITATION,1146 WOODCREST AVENUE,RIVERHEAD,NY,11901,2021-08-23,Fine,650,,,"1146 WOODCREST AVENUE,RIVERHEAD,NY,11901",2022-01-01
335688,PECONIC BAY SKILLED NURSING FACILITY,1300 ROANOKE AVENUE,RIVERHEAD,NY,11901,2021-09-06,Fine,650,,,"1300 ROANOKE AVENUE,RIVERHEAD,NY,11901",2022-01-01
335719,QUANTUM REHABILITATION AND NURSING L L C,63 OAKCREST AVENUE,MIDDLE ISLAND,NY,11953,2020-11-30,Fine,983,,,"63 OAKCREST AVENUE,MIDDLE ISLAND,NY,11953",2022-01-01
335719,QUANTUM REHABILITATION AND NURSING L L C,63 OAKCREST AVENUE,MIDDLE ISLAND,NY,11953,2021-05-28,Fine,3250,,,"63 OAKCREST AVENUE,MIDDLE ISLAND,NY,11953",2022-01-01
335719,QUANTUM REHABILITATION AND NURSING L L C,63 OAKCREST AVENUE,MIDDLE ISLAND,NY,11953,2019-04-10,Fine,7433,,,"63 OAKCREST AVENUE,MIDDLE ISLAND,NY,11953",2022-01-01
335719,QUANTUM REHABILITATION AND NURSING L L C,63 OAKCREST AVENUE,MIDDLE ISLAND,NY,11953,2021-04-22,Fine,47658,,,"63 OAKCREST AVENUE,MIDDLE ISLAND,NY,11953",2022-01-01
