federal_provider_number,provider_name,provider_address,provider_city,provider_state,provider_zip_code,survey_date,survey_type,deficiency_prefix,deficiency_category,deficiency_tag_number,deficiency_description,scope_severity_code,deficiency_corrected,correction_date,inspection_cycle,standard_deficiency,complaint_deficiency,infection_control_inspection_deficiency,location,processing_date
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2018-07-26,Health,F,Quality of Life and Care Deficiencies,0689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,D,"Deficient, Provider has date of correction",2018-09-07,2,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2018-07-26,Health,F,Pharmacy Service Deficiencies,0758,"Implement gradual dose reductions(GDR) and non-pharmacological interventions, unless contraindicated, prior to initiating or instead of continuing psychotropic medication; and PRN orders for psychotropic medications are only used when the medication is necessary and PRN use is limited.",D,"Deficient, Provider has date of correction",2018-09-07,2,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2018-07-26,Health,F,Pharmacy Service Deficiencies,0761,"Ensure drugs and biologicals used in the facility are labeled in accordance with currently accepted professional principles; and all drugs and biologicals must be stored in locked compartments, separately locked, compartments for controlled drugs.",E,"Deficient, Provider has date of correction",2018-09-07,2,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2018-07-26,Health,F,Resident Assessment and Care Planning Deficiencies,0842,Safeguard resident-identifiable information and/or maintain medical records on each resident that are in accordance with accepted professional standards.,D,"Deficient, Provider has date of correction",2018-09-07,2,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2019-09-04,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0609,"Timely report suspected abuse, neglect, or theft and report the results of the investigation to proper authorities.",D,Past Non-Compliance,2018-01-28,3,N,Y,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2017-03-21,Health,F,Resident Rights Deficiencies,0164,Keep  residents' personal and medical records private and confidential.,D,"Deficient, Provider has date of correction",2017-05-19,3,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2017-03-21,Health,F,Resident Assessment and Care Planning Deficiencies,0279,"Develop a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2017-05-19,3,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2017-03-21,Health,F,Resident Assessment and Care Planning Deficiencies,0280,Allow residents the right to participate in the planning or revision of care and treatment.,D,"Deficient, Provider has date of correction",2017-05-19,3,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2017-03-21,Health,F,Quality of Life and Care Deficiencies,0282,Provide care by qualified persons according to each resident's written plan of care.,D,"Deficient, Provider has date of correction",2017-05-19,3,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2017-03-21,Health,F,Quality of Life and Care Deficiencies,0315,"Ensure that each resident who enters the nursing home without a catheter is not given a catheter, unless medically necessary, and that incontinent patients receive proper services to prevent urinary tract infections and restore normal bladder functions.",D,"Deficient, Provider has date of correction",2017-05-19,3,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2017-03-21,Health,F,Pharmacy Service Deficiencies,0329,Ensure that each resident's 1) entire drug/medication regimen is free from unnecessary drugs; and 2) is managed and monitored to achieve highest level of well-being.,E,"Deficient, Provider has date of correction",2017-05-19,3,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2017-03-21,Health,F,Nursing and Physician Services Deficiencies,0386,Make sure that doctors see a resident's plan of care at every visit and make notes about progress and orders in writing.,D,"Deficient, Provider has date of correction",2017-05-19,3,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2017-03-21,Health,F,Environmental Deficiencies,0441,"Have a program that investigates, controls and keeps infection from spreading.",D,"Deficient, Provider has date of correction",2017-05-19,3,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,271-11 76TH AVE,NEW HYDE PARK,NY,11040,2021-08-18,Health,F,Quality of Life and Care Deficiencies,0684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",D,"Deficient, Provider has date of correction",2021-10-12,1,Y,N,N,"271-11 76TH AVE,NEW HYDE PARK,NY,11040",2022-01-01
335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,271-11 76TH AVE,NEW HYDE PARK,NY,11040,2021-08-18,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2021-10-12,1,Y,N,N,"271-11 76TH AVE,NEW HYDE PARK,NY,11040",2022-01-01
335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,271-11 76TH AVE,NEW HYDE PARK,NY,11040,2020-10-15,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0610,Respond appropriately to all alleged violations.,D,"Deficient, Provider has date of correction",2020-12-23,2,N,Y,N,"271-11 76TH AVE,NEW HYDE PARK,NY,11040",2022-01-01
335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,271-11 76TH AVE,NEW HYDE PARK,NY,11040,2020-10-15,Health,F,Resident Assessment and Care Planning Deficiencies,0842,Safeguard resident-identifiable information and/or maintain medical records on each resident that are in accordance with accepted professional standards.,D,"Deficient, Provider has date of correction",2020-12-23,2,N,Y,N,"271-11 76TH AVE,NEW HYDE PARK,NY,11040",2022-01-01
335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,271-11 76TH AVE,NEW HYDE PARK,NY,11040,2019-03-05,Health,F,Quality of Life and Care Deficiencies,0688,"Provide appropriate care for a resident to maintain and/or improve range of motion (ROM), limited ROM and/or mobility, unless a decline is for a medical reason.",D,"Deficient, Provider has date of correction",2019-05-01,2,Y,N,N,"271-11 76TH AVE,NEW HYDE PARK,NY,11040",2022-01-01
335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,271-11 76TH AVE,NEW HYDE PARK,NY,11040,2019-12-30,Health,F,Environmental Deficiencies,0908,Keep all essential equipment working safely.,D,"Deficient, Provider has no plan of correction",,3,N,Y,N,"271-11 76TH AVE,NEW HYDE PARK,NY,11040",2022-01-01
335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,271-11 76TH AVE,NEW HYDE PARK,NY,11040,2017-07-10,Health,F,Resident Assessment and Care Planning Deficiencies,0279,"Develop a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2017-09-07,3,Y,N,N,"271-11 76TH AVE,NEW HYDE PARK,NY,11040",2022-01-01
335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,271-11 76TH AVE,NEW HYDE PARK,NY,11040,2017-07-10,Health,F,Environmental Deficiencies,0468,Put firmly secured handrails on each side of hallways.,E,"Deficient, Provider has date of correction",2017-09-07,3,Y,N,N,"271-11 76TH AVE,NEW HYDE PARK,NY,11040",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2021-09-21,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2021-10-21,1,N,N,Y,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2021-01-07,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2021-02-26,1,N,N,Y,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2020-09-15,Health,F,Nutrition and Dietary Deficiencies,0812,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",D,"Deficient, Provider has date of correction",2020-11-13,1,Y,N,Y,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2020-09-15,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2020-11-13,1,Y,N,Y,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2019-01-04,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2019-02-04,2,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2019-01-04,Health,F,Quality of Life and Care Deficiencies,0686,Provide appropriate pressure ulcer care and prevent new ulcers from developing.,D,"Deficient, Provider has date of correction",2019-02-04,2,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2019-01-04,Health,F,Quality of Life and Care Deficiencies,0688,"Provide appropriate care for a resident to maintain and/or improve range of motion (ROM), limited ROM and/or mobility, unless a decline is for a medical reason.",D,"Deficient, Provider has date of correction",2019-02-04,2,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2019-01-04,Health,F,Nursing and Physician Services Deficiencies,0725,Provide enough nursing staff every day to meet the needs of every resident; and have a licensed nurse in charge on each shift.,D,"Deficient, Provider has date of correction",2019-02-04,2,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2019-01-04,Health,F,Administration Deficiencies,0838,Conduct and document a facility-wide assessment to determine what resources are necessary to care for residents competently during both day-to-day operations and emergencies.,D,"Deficient, Provider has date of correction",2019-02-04,2,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2019-01-04,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2019-02-04,2,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2019-03-05,Health,F,Resident Assessment and Care Planning Deficiencies,0637,Assess the resident when there is a significant change in condition,D,"Deficient, Provider has date of correction",2019-04-03,3,N,Y,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2017-07-03,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0221,"Keep each resident free from physical restraints, unless needed for medical treatment.",D,"Deficient, Provider has date of correction",2017-08-31,3,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2017-07-03,Health,F,Resident Rights Deficiencies,0241,Provide care for residents in a way that maintains or improves their dignity and respect in full recognition of their individuality.,D,"Deficient, Provider has date of correction",2017-08-31,3,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2017-07-03,Health,F,Environmental Deficiencies,0253,Provide housekeeping and maintenance services.,E,"Deficient, Provider has date of correction",2017-08-31,3,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2017-07-03,Health,F,Resident Assessment and Care Planning Deficiencies,0279,"Develop a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2017-08-31,3,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2017-07-03,Health,F,Resident Assessment and Care Planning Deficiencies,0280,Allow residents the right to participate in the planning or revision of care and treatment.,D,"Deficient, Provider has date of correction",2017-08-31,3,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2017-07-03,Health,F,Quality of Life and Care Deficiencies,0309,Provide necessary care and services to maintain or improve the highest well being of each resident .,D,"Deficient, Provider has date of correction",2017-08-31,3,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2017-07-03,Health,F,Pharmacy Service Deficiencies,0329,Ensure that each resident's 1) entire drug/medication regimen is free from unnecessary drugs; and 2) is managed and monitored to achieve highest level of well-being.,D,"Deficient, Provider has date of correction",2017-08-31,3,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2017-07-03,Health,F,Nutrition and Dietary Deficiencies,0371,"Store, cook, and serve food in a safe and clean way.",D,"Deficient, Provider has date of correction",2017-08-31,3,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2017-07-03,Health,F,Environmental Deficiencies,0441,"Have a program that investigates, controls and keeps infection from spreading.",D,"Deficient, Provider has date of correction",2017-08-31,3,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2017-07-03,Health,F,Environmental Deficiencies,0469,"Make sure there is a pest control program to prevent/deal with mice, insects, or other pests.",D,"Deficient, Provider has date of correction",2017-08-31,3,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2019-10-18,Health,F,Resident Rights Deficiencies,0584,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",B,"Deficient, Provider has date of correction",2019-12-16,1,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2019-10-18,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2019-12-16,1,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2019-10-18,Health,F,Nutrition and Dietary Deficiencies,0813,Have a policy regarding use and storage of foods brought to residents by family and other visitors.,D,"Deficient, Provider has date of correction",2019-12-16,1,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2019-10-18,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2019-12-16,1,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2018-06-26,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2018-08-22,2,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2018-06-26,Health,F,Quality of Life and Care Deficiencies,0686,Provide appropriate pressure ulcer care and prevent new ulcers from developing.,D,"Deficient, Provider has date of correction",2018-08-22,2,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2018-06-26,Health,F,Nutrition and Dietary Deficiencies,0806,"Ensure each resident receives and the facility provides food that accommodates resident allergies, intolerances, and preferences, as well as appealing options.",D,"Deficient, Provider has date of correction",2018-08-22,2,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2018-06-26,Health,F,Nutrition and Dietary Deficiencies,0812,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",E,"Deficient, Provider has date of correction",2018-08-22,2,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2018-06-26,Health,F,Resident Assessment and Care Planning Deficiencies,0842,Safeguard resident-identifiable information and/or maintain medical records on each resident that are in accordance with accepted professional standards.,D,"Deficient, Provider has date of correction",2018-08-22,2,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2018-06-26,Health,F,Environmental Deficiencies,0919,Make sure that a working call system is available in each resident's  bathroom and bathing area.,D,"Deficient, Provider has date of correction",2018-08-22,2,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2017-03-09,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0225,"1) Hire only people with no legal history of abusing, neglecting or mistreating residents; or 2) report and investigate any acts or reports of abuse, neglect or mistreatment of residents.",D,"Deficient, Provider has date of correction",2017-04-27,3,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2017-03-09,Health,F,Environmental Deficiencies,0253,Provide housekeeping and maintenance services.,B,"Deficient, Provider has date of correction",2017-04-27,3,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2017-03-09,Health,F,Resident Assessment and Care Planning Deficiencies,0279,"Develop a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2017-04-27,3,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2017-03-09,Health,F,Resident Assessment and Care Planning Deficiencies,0280,Allow residents the right to participate in the planning or revision of care and treatment.,D,"Deficient, Provider has date of correction",2017-04-27,3,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2017-03-09,Health,F,Quality of Life and Care Deficiencies,0282,Provide care by qualified persons according to each resident's written plan of care.,D,"Deficient, Provider has date of correction",2017-04-27,3,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2017-03-09,Health,F,Quality of Life and Care Deficiencies,0309,Provide necessary care and services to maintain or improve the highest well being of each resident .,D,"Deficient, Provider has date of correction",2017-04-27,3,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
